order_id,customer_id,order_date,platform,order_value_ngn,shipping_fee_ngn,payment_method,payment_processor,delivery_city,delivery_status,estimated_delivery_days,order_status
ORD4240059,CUST980044,2024-07-13 00:00:00,Jumia,266885.08,1889.23,cash_on_delivery,Paga,Enugu,shipped,1,processing
ORD8324068,CUST659432,2024-06-18 00:00:00,Konga,107660.88,1971.49,bank_transfer,Remita,Ilorin,delivered,7,completed
ORD5238072,CUST769295,2024-05-08 00:00:00,Shoprite Online,335949.0,2530.53,ussd,Paga,Warri,delivered,7,completed
ORD3871815,CUST684749,2024-05-02 00:00:00,Shoprite Online,326653.4,3859.33,cash_on_delivery,Paga,Onitsha,delivered,5,completed
ORD1604635,CUST594896,2024-09-08 00:00:00,Shoprite Online,45417.56,2164.61,credit_card,Remita,Aba,delivered,2,processing
ORD5642089,CUST474602,2024-04-26 00:00:00,PayPorte,94040.89,3981.5,debit_card,Quickteller,Ilorin,cancelled,5,completed
ORD6655554,CUST919859,2024-08-24 00:00:00,Jiji,207186.87,2396.58,cash_on_delivery,Interswitch,Calabar,delivered,2,completed
ORD8184455,CUST505125,2024-05-23 00:00:00,Jumia,362465.96,1429.09,debit_card,Paystack,Enugu,delivered,4,completed
ORD1350878,CUST372022,2024-06-06 00:00:00,Konga,413003.81,4797.05,cash_on_delivery,Paystack,Port Harcourt,delivered,3,completed
ORD3497679,CUST307390,2024-06-16 00:00:00,Jumia,94448.69,4371.98,cash_on_delivery,Paga,Kaduna,delivered,2,completed
ORD2972670,CUST392765,2024-05-15 00:00:00,Jiji,134452.51,4003.52,cash_on_delivery,Paystack,Abuja,delivered,6,completed
ORD9388330,CUST973682,2024-05-28 00:00:00,Konga,433969.76,4787.91,cash_on_delivery,Remita,Onitsha,cancelled,3,completed
ORD9735204,CUST248431,2024-10-23 00:00:00,Konga,179387.81,2350.3,cash_on_delivery,Remita,Kano,pending,4,completed
ORD3915917,CUST340407,2024-05-04 00:00:00,Jumia,29366.96,2826.16,bank_transfer,Remita,Port Harcourt,shipped,3,completed
ORD9038107,CUST532835,2024-05-08 00:00:00,Jumia,46942.95,4927.8,ussd,Remita,Enugu,shipped,2,completed
ORD8680662,CUST332418,2024-08-27 00:00:00,Konga,184465.35,2352.01,bank_transfer,Interswitch,Benin City,delivered,3,completed
ORD1115859,CUST355398,2024-03-25 00:00:00,Jumia,76993.01,2303.57,mobile_money,Flutterwave,Warri,shipped,7,completed
ORD1156278,CUST540859,2024-07-10 00:00:00,Konga,123132.19,2738.11,cash_on_delivery,Interswitch,Warri,delivered,4,completed
ORD1152108,CUST853039,2024-01-02 00:00:00,Jumia,18658.19,3369.04,debit_card,Quickteller,Enugu,shipped,5,completed
ORD8112659,CUST636091,2024-01-01 00:00:00,Jumia,410508.9,1891.79,bank_transfer,Paystack,Lagos,pending,1,processing
ORD4809042,CUST381709,2024-06-29 00:00:00,Jiji,340633.4,2801.1,cash_on_delivery,Remita,Calabar,shipped,1,processing
ORD7074879,CUST678482,2024-07-10 00:00:00,Konga,198940.15,4126.61,cash_on_delivery,Remita,Jos,delivered,3,completed
ORD4398061,CUST515840,2024-08-27 00:00:00,Jumia,477545.81,2811.29,mobile_money,Remita,Calabar,delivered,5,completed
ORD2029174,CUST696596,2024-04-24 00:00:00,Jumia,10781.86,2622.24,cash_on_delivery,Flutterwave,Ibadan,delivered,6,completed
ORD3820508,CUST686519,2024-01-03 00:00:00,Konga,486472.1,2169.18,debit_card,Flutterwave,Kano,delivered,2,processing
ORD4349437,CUST802434,2024-02-20 00:00:00,Jumia,247493.05,4820.68,cash_on_delivery,Quickteller,Ibadan,delivered,3,completed
ORD5067167,CUST542872,2024-01-13 00:00:00,Slot,393715.17,1820.58,cash_on_delivery,Paga,Ibadan,delivered,2,completed
ORD5859896,CUST444278,2024-02-05 00:00:00,Konga,389320.25,1196.81,bank_transfer,Interswitch,Warri,delivered,7,completed
ORD8246700,CUST385944,2024-10-24 00:00:00,Jiji,441355.06,1889.52,bank_transfer,Flutterwave,Kano,delivered,2,completed
ORD3166771,CUST831626,2024-10-16 00:00:00,Jumia,316869.42,1543.11,cash_on_delivery,Interswitch,Abeokuta,delivered,2,completed
ORD2811740,CUST605021,2024-05-01 00:00:00,PayPorte,214020.53,1502.65,bank_transfer,Interswitch,Ilorin,pending,3,completed
ORD4503205,CUST782193,2024-07-31 00:00:00,Jumia,224652.22,2067.48,cash_on_delivery,Remita,Aba,pending,3,completed
ORD9976343,CUST617498,2024-04-28 00:00:00,Jiji,125524.13,3128.03,debit_card,Paga,Ibadan,shipped,6,completed
ORD4425275,CUST735611,2024-07-01 00:00:00,Konga,160647.43,4653.44,bank_transfer,Interswitch,Abeokuta,delivered,1,completed
ORD1921043,CUST212073,2024-01-24 00:00:00,Jiji,35104.16,2951.59,debit_card,Paystack,Abeokuta,delivered,3,completed
ORD8538835,CUST109616,2024-05-05 00:00:00,Jumia,351550.65,3144.02,cash_on_delivery,Quickteller,Ibadan,pending,4,completed
ORD3794861,CUST156886,2024-02-10 00:00:00,Jumia,21348.85,3630.55,ussd,Paystack,Abuja,delivered,6,completed
ORD2438605,CUST481698,2024-01-30 00:00:00,Jumia,342145.7,3771.31,cash_on_delivery,Quickteller,Ilorin,pending,6,processing
ORD1679626,CUST853026,2024-08-11 00:00:00,Jumia,332210.47,4163.97,debit_card,Paga,Ilorin,delivered,4,completed
ORD5499458,CUST162737,2024-01-13 00:00:00,Jumia,124544.72,4530.27,cash_on_delivery,Remita,Abuja,delivered,1,completed
ORD1802414,CUST331663,2024-09-28 00:00:00,Jumia,459731.33,1005.4,bank_transfer,Paga,Kano,cancelled,7,completed
ORD4466267,CUST365785,2024-06-07 00:00:00,Jumia,390890.68,1471.7,mobile_money,Remita,Abeokuta,delivered,3,completed
ORD7066370,CUST925050,2024-01-06 00:00:00,Jumia,361050.98,4029.72,debit_card,Flutterwave,Kaduna,delivered,3,completed
ORD4533102,CUST609487,2024-03-14 00:00:00,Konga,399288.57,1987.88,bank_transfer,Quickteller,Benin City,delivered,2,completed
ORD8395459,CUST636373,2024-02-27 00:00:00,Konga,329110.09,1660.67,ussd,Interswitch,Kaduna,shipped,5,completed
ORD9633075,CUST861899,2024-08-04 00:00:00,Jiji,25222.99,4402.02,debit_card,Paga,Lagos,shipped,6,completed
ORD1312517,CUST982134,2024-03-05 00:00:00,Konga,316939.77,1387.83,cash_on_delivery,Paga,Port Harcourt,delivered,6,completed
ORD6208978,CUST988604,2024-10-01 00:00:00,Jumia,90737.09,1523.87,ussd,Quickteller,Enugu,delivered,2,completed
ORD6508084,CUST568863,2024-01-28 00:00:00,Jumia,151354.85,2711.12,cash_on_delivery,Flutterwave,Kaduna,delivered,5,completed
ORD1370951,CUST546910,2024-09-07 00:00:00,Jiji,332172.97,1218.92,bank_transfer,Flutterwave,Benin City,delivered,4,completed
ORD6915808,CUST960510,2024-07-27 00:00:00,Supermart,8047.87,1783.9,cash_on_delivery,Quickteller,Kano,delivered,1,processing
ORD1954138,CUST298361,2024-08-25 00:00:00,Konga,481024.49,3712.02,bank_transfer,Remita,Kaduna,delivered,5,processing
ORD1288371,CUST839590,2024-10-16 00:00:00,Konga,262786.89,1144.46,cash_on_delivery,Interswitch,Calabar,delivered,4,completed
ORD3069391,CUST223069,2024-05-01 00:00:00,Chowdeck,33054.63,1759.84,debit_card,Interswitch,Onitsha,delivered,7,completed
ORD4538183,CUST131876,2024-03-08 00:00:00,Slot,360515.66,3412.49,cash_on_delivery,Remita,Kaduna,delivered,2,completed
ORD4472925,CUST382447,2024-07-03 00:00:00,Konga,69213.18,2814.97,bank_transfer,Remita,Calabar,shipped,3,completed
ORD8144495,CUST940446,2024-07-27 00:00:00,Jumia,45331.39,3134.26,cash_on_delivery,Paga,Warri,cancelled,2,completed
ORD6962228,CUST956328,2024-09-05 00:00:00,Slot,393271.99,4057.1,cash_on_delivery,Interswitch,Lagos,delivered,3,completed
ORD8057190,CUST869507,2024-05-02 00:00:00,Spar Online,250240.63,1671.79,cash_on_delivery,Paga,Warri,delivered,5,completed
ORD2253905,CUST875229,2024-10-17 00:00:00,Jumia,135860.66,4326.53,bank_transfer,Flutterwave,Aba,shipped,7,completed
ORD7584168,CUST174132,2024-03-30 00:00:00,Jiji,30666.5,4149.24,cash_on_delivery,Flutterwave,Abuja,delivered,6,completed
ORD8878605,CUST125544,2024-08-12 00:00:00,Jumia,375973.27,3033.27,mobile_money,Flutterwave,Ilorin,delivered,1,cancelled
ORD8627141,CUST117515,2024-08-06 00:00:00,Jiji,214171.02,3723.82,mobile_money,Flutterwave,Aba,pending,7,completed
ORD2541164,CUST173207,2024-08-08 00:00:00,Konga,434429.31,3335.55,bank_transfer,Remita,Abuja,shipped,6,completed
ORD4230392,CUST257061,2024-02-14 00:00:00,Konga,274332.41,3107.7,bank_transfer,Flutterwave,Kano,delivered,1,completed
ORD7284494,CUST535065,2024-04-20 00:00:00,PayPorte,493094.09,4431.58,cash_on_delivery,Quickteller,Abuja,delivered,1,completed
ORD2397945,CUST473813,2024-10-06 00:00:00,Konga,47038.28,4442.26,bank_transfer,Remita,Warri,shipped,4,completed
ORD8210663,CUST679308,2024-06-27 00:00:00,Jumia,236078.15,1250.12,cash_on_delivery,Paystack,Enugu,delivered,7,completed
ORD6346871,CUST133241,2024-06-30 00:00:00,Jiji,488461.49,3476.9,ussd,Interswitch,Kaduna,delivered,3,completed
ORD5648919,CUST319106,2024-03-16 00:00:00,Konga,266455.9,3143.78,cash_on_delivery,Remita,Enugu,delivered,5,completed
ORD7417988,CUST957792,2024-04-12 00:00:00,Konga,201664.23,2734.01,bank_transfer,Interswitch,Kaduna,pending,4,completed
ORD7220607,CUST127038,2024-06-08 00:00:00,Jiji,485432.43,4394.68,cash_on_delivery,Interswitch,Kaduna,delivered,6,completed
ORD4056718,CUST494549,2024-03-07 00:00:00,Jumia,421626.39,3754.44,bank_transfer,Interswitch,Warri,delivered,4,completed
ORD4575983,CUST452337,2024-08-02 00:00:00,Konga,217110.25,2451.82,debit_card,Interswitch,Abeokuta,delivered,4,completed
ORD6501399,CUST938019,2024-09-22 00:00:00,Jumia,13967.88,2707.06,cash_on_delivery,Paga,Calabar,delivered,7,processing
ORD8004552,CUST217223,2024-05-17 00:00:00,Jumia,156223.15,3465.34,debit_card,Interswitch,Port Harcourt,delivered,1,completed
ORD2587973,CUST762317,2024-06-12 00:00:00,Konga,327135.43,1665.55,debit_card,Paystack,Onitsha,delivered,6,processing
ORD8300970,CUST628224,2024-09-07 00:00:00,Jiji,93708.02,3695.82,cash_on_delivery,Paga,Lagos,shipped,4,completed
ORD5312503,CUST242617,2024-01-16 00:00:00,Konga,434707.67,3626.99,cash_on_delivery,Flutterwave,Kano,delivered,3,completed
ORD6757818,CUST555596,2024-06-09 00:00:00,Jumia,458926.04,1447.62,debit_card,Flutterwave,Kano,delivered,2,completed
ORD4636452,CUST972137,2024-05-25 00:00:00,Jumia,335624.44,1261.64,cash_on_delivery,Paga,Onitsha,delivered,4,processing
ORD4239068,CUST653980,2024-04-16 00:00:00,Jumia,438548.68,3044.66,debit_card,Paga,Ibadan,delivered,4,completed
